country,institute_type,direct_expenditure_type,year,expenditure
Slovenia,All Institutions ,Total,2000,
Spain,All Institutions ,Total,2000,
Sweden,All Institutions ,Total,2000,
Switzerland,All Institutions ,Total,2000,
Turkey,All Institutions ,Total,2000,
United Kingdom,All Institutions ,Total,2000,
United States,All Institutions ,Total,2000,
  Brazil,All Institutions ,Total,2000,
  Russian Federation,All Institutions ,Total,2000,
OECD Average,Elementary and Secondary Institutions ,Total,2000,
Australia,Elementary and Secondary Institutions ,Total,2000,
Austria,Elementary and Secondary Institutions ,Total,2000,
Belgium,Elementary and Secondary Institutions ,Total,2000,
Canada,Elementary and Secondary Institutions ,Total,2000,
Chile,Elementary and Secondary Institutions ,Total,2000,
Czech Republic,Elementary and Secondary Institutions ,Total,2000,
Denmark,Elementary and Secondary Institutions ,Total,2000,
Estonia,Elementary and Secondary Institutions ,Total,2000,
Finland,Elementary and Secondary Institutions ,Total,2000,
France,Elementary and Secondary Institutions ,Total,2000,
Germany,Elementary and Secondary Institutions ,Total,2000,
Greece,Elementary and Secondary Institutions ,Total,2000,
Hungary,Elementary and Secondary Institutions ,Total,2000,
Iceland,Elementary and Secondary Institutions ,Total,2000,
Ireland,Elementary and Secondary Institutions ,Total,2000,
Israel,Elementary and Secondary Institutions ,Total,2000,
Italy,Elementary and Secondary Institutions ,Total,2000,
Japan,Elementary and Secondary Institutions ,Total,2000,
"Korea, Republic of",Elementary and Secondary Institutions ,Total,2000,
Luxembourg,Elementary and Secondary Institutions ,Total,2000,
Mexico,Elementary and Secondary Institutions ,Total,2000,
Netherlands,Elementary and Secondary Institutions ,Total,2000,
New Zealand,Elementary and Secondary Institutions ,Total,2000,
Norway,Elementary and Secondary Institutions ,Total,2000,
Poland,Elementary and Secondary Institutions ,Total,2000,
Portugal,Elementary and Secondary Institutions ,Total,2000,
Slovak Republic,Elementary and Secondary Institutions ,Total,2000,
Slovenia,Elementary and Secondary Institutions ,Total,2000,
Spain,Elementary and Secondary Institutions ,Total,2000,
Sweden,Elementary and Secondary Institutions ,Total,2000,
Switzerland,Elementary and Secondary Institutions ,Total,2000,
Turkey,Elementary and Secondary Institutions ,Total,2000,
United Kingdom,Elementary and Secondary Institutions ,Total,2000,
United States,Elementary and Secondary Institutions ,Total,2000,
  Brazil,Elementary and Secondary Institutions ,Total,2000,
  Russian Federation,Elementary and Secondary Institutions ,Total,2000,
OECD Average,Higher Education Institutions ,Total,2000,
Australia,Higher Education Institutions ,Total,2000,
Austria,Higher Education Institutions ,Total,2000,
Belgium,Higher Education Institutions ,Total,2000,
Canada,Higher Education Institutions ,Total,2000,
Chile,Higher Education Institutions ,Total,2000,
Czech Republic,Higher Education Institutions ,Total,2000,
Denmark,Higher Education Institutions ,Total,2000,
Estonia,Higher Education Institutions ,Total,2000,
Finland,Higher Education Institutions ,Total,2000,
France,Higher Education Institutions ,Total,2000,
Germany,Higher Education Institutions ,Total,2000,
Greece,Higher Education Institutions ,Total,2000,
Hungary,Higher Education Institutions ,Total,2000,
Iceland,Higher Education Institutions ,Total,2000,
Ireland,Higher Education Institutions ,Total,2000,
Israel,Higher Education Institutions ,Total,2000,
Italy,Higher Education Institutions ,Total,2000,
Japan,Higher Education Institutions ,Total,2000,
"Korea, Republic of",Higher Education Institutions ,Total,2000,
Luxembourg,Higher Education Institutions ,Total,2000,
Mexico,Higher Education Institutions ,Total,2000,
Netherlands,Higher Education Institutions ,Total,2000,
New Zealand,Higher Education Institutions ,Total,2000,
Norway,Higher Education Institutions ,Total,2000,
Poland,Higher Education Institutions ,Total,2000,
Portugal,Higher Education Institutions ,Total,2000,
Slovak Republic,Higher Education Institutions ,Total,2000,
Slovenia,Higher Education Institutions ,Total,2000,
Spain,Higher Education Institutions ,Total,2000,
Sweden,Higher Education Institutions ,Total,2000,
Switzerland,Higher Education Institutions ,Total,2000,
Turkey,Higher Education Institutions ,Total,2000,
United Kingdom,Higher Education Institutions ,Total,2000,
United States,Higher Education Institutions ,Total,2000,
  Brazil,Higher Education Institutions ,Total,2000,
  Russian Federation,Higher Education Institutions ,Total,2000,
OECD Average,All Institutions ,Public,2005,5.0
Australia,All Institutions ,Public,2005,4.3
Austria,All Institutions ,Public,2005,5.2
Belgium,All Institutions ,Public,2005,5.8
Canada,All Institutions ,Public,2005,4.8
Chile,All Institutions ,Public,2005,3.3
Czech Republic,All Institutions ,Public,2005,4.1
Denmark,All Institutions ,Public,2005,6.8
Estonia,All Institutions ,Public,2005,4.7
Finland,All Institutions ,Public,2005,5.9
France,All Institutions ,Public,2005,5.6
Germany,All Institutions ,Public,2005,4.2
Greece,All Institutions ,Public,2005,4.0
Hungary,All Institutions ,Public,2005,5.1
Iceland,All Institutions ,Public,2005,7.2
Ireland,All Institutions ,Public,2005,4.3
Israel,All Institutions ,Public,2005,6.2
Italy,All Institutions ,Public,2005,4.3
Japan,All Institutions ,Public,2005,3.4
"Korea, Republic of",All Institutions ,Public,2005,4.3
Luxembourg,All Institutions ,Public,2005,
Mexico,All Institutions ,Public,2005,5.3
Netherlands,All Institutions ,Public,2005,4.6
New Zealand,All Institutions ,Public,2005,5.2
Norway,All Institutions ,Public,2005,5.7
Poland,All Institutions ,Public,2005,5.4
Portugal,All Institutions ,Public,2005,5.3
Slovak Republic,All Institutions ,Public,2005,3.7
Slovenia,All Institutions ,Public,2005,5.3
Spain,All Institutions ,Public,2005,4.1
Sweden,All Institutions ,Public,2005,6.2
Switzerland,All Institutions ,Public,2005,5.6
Turkey,All Institutions ,Public,2005,
United Kingdom,All Institutions ,Public,2005,5.0
United States,All Institutions ,Public,2005,4.9
  Brazil,All Institutions ,Public,2005,4.4
  Russian Federation,All Institutions ,Public,2005,3.8
OECD Average,Elementary and Secondary Institutions ,Public,2005,3.5
Australia,Elementary and Secondary Institutions ,Public,2005,3.4
Austria,Elementary and Secondary Institutions ,Public,2005,3.5
Belgium,Elementary and Secondary Institutions ,Public,2005,3.9
Canada,Elementary and Secondary Institutions ,Public,2005,3.3
Chile,Elementary and Secondary Institutions ,Public,2005,2.7
Czech Republic,Elementary and Secondary Institutions ,Public,2005,2.7
Denmark,Elementary and Secondary Institutions ,Public,2005,4.4
Estonia,Elementary and Secondary Institutions ,Public,2005,3.5
Finland,Elementary and Secondary Institutions ,Public,2005,3.8
France,Elementary and Secondary Institutions ,Public,2005,3.8
Germany,Elementary and Secondary Institutions ,Public,2005,2.8
Greece,Elementary and Secondary Institutions ,Public,2005,2.5
Hungary,Elementary and Secondary Institutions ,Public,2005,3.3
Iceland,Elementary and Secondary Institutions ,Public,2005,5.2
Ireland,Elementary and Secondary Institutions ,Public,2005,3.3
Israel,Elementary and Secondary Institutions ,Public,2005,4.2
Italy,Elementary and Secondary Institutions ,Public,2005,3.2
Japan,Elementary and Secondary Institutions ,Public,2005,2.6
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2005,3.4
Luxembourg,Elementary and Secondary Institutions ,Public,2005,3.7
Mexico,Elementary and Secondary Institutions ,Public,2005,3.7
Netherlands,Elementary and Secondary Institutions ,Public,2005,3.3
New Zealand,Elementary and Secondary Institutions ,Public,2005,4.0
Norway,Elementary and Secondary Institutions ,Public,2005,3.8
Poland,Elementary and Secondary Institutions ,Public,2005,3.7
Portugal,Elementary and Secondary Institutions ,Public,2005,3.8
Slovak Republic,Elementary and Secondary Institutions ,Public,2005,2.5
Slovenia,Elementary and Secondary Institutions ,Public,2005,3.9
Spain,Elementary and Secondary Institutions ,Public,2005,2.7
Sweden,Elementary and Secondary Institutions ,Public,2005,4.2
Switzerland,Elementary and Secondary Institutions ,Public,2005,3.9
Turkey,Elementary and Secondary Institutions ,Public,2005,
United Kingdom,Elementary and Secondary Institutions ,Public,2005,3.8
United States,Elementary and Secondary Institutions ,Public,2005,3.6
  Brazil,Elementary and Secondary Institutions ,Public,2005,3.3
  Russian Federation,Elementary and Secondary Institutions ,Public,2005,1.9
OECD Average,Higher Education Institutions ,Public,2005,1.0
Australia,Higher Education Institutions ,Public,2005,0.8
Austria,Higher Education Institutions ,Public,2005,1.2
Belgium,Higher Education Institutions ,Public,2005,1.2
Canada,Higher Education Institutions ,Public,2005,1.5
Chile,Higher Education Institutions ,Public,2005,0.3
Czech Republic,Higher Education Institutions ,Public,2005,0.8
Denmark,Higher Education Institutions ,Public,2005,1.6
Estonia,Higher Education Institutions ,Public,2005,0.9
Finland,Higher Education Institutions ,Public,2005,1.7
France,Higher Education Institutions ,Public,2005,1.1
Germany,Higher Education Institutions ,Public,2005,0.9
Greece,Higher Education Institutions ,Public,2005,1.4
Hungary,Higher Education Institutions ,Public,2005,0.9
Iceland,Higher Education Institutions ,Public,2005,1.1
Ireland,Higher Education Institutions ,Public,2005,1.0
Israel,Higher Education Institutions ,Public,2005,1.0
Italy,Higher Education Institutions ,Public,2005,0.6
Japan,Higher Education Institutions ,Public,2005,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2005,0.6
Luxembourg,Higher Education Institutions ,Public,2005,
Mexico,Higher Education Institutions ,Public,2005,0.9
Netherlands,Higher Education Institutions ,Public,2005,1.0
New Zealand,Higher Education Institutions ,Public,2005,0.9
Norway,Higher Education Institutions ,Public,2005,1.3
Poland,Higher Education Institutions ,Public,2005,1.2
Portugal,Higher Education Institutions ,Public,2005,0.9
Slovak Republic,Higher Education Institutions ,Public,2005,0.7
Slovenia,Higher Education Institutions ,Public,2005,1.0
Spain,Higher Education Institutions ,Public,2005,0.9
Sweden,Higher Education Institutions ,Public,2005,1.5
Switzerland,Higher Education Institutions ,Public,2005,1.4
Turkey,Higher Education Institutions ,Public,2005,
United Kingdom,Higher Education Institutions ,Public,2005,0.9
United States,Higher Education Institutions ,Public,2005,1.0
  Brazil,Higher Education Institutions ,Public,2005,0.8
  Russian Federation,Higher Education Institutions ,Public,2005,0.8
OECD Average,All Institutions ,Private,2005,
Australia,All Institutions ,Private,2005,
Austria,All Institutions ,Private,2005,
Belgium,All Institutions ,Private,2005,
Canada,All Institutions ,Private,2005,
Chile,All Institutions ,Private,2005,
Czech Republic,All Institutions ,Private,2005,
Denmark,All Institutions ,Private,2005,
Estonia,All Institutions ,Private,2005,
Finland,All Institutions ,Private,2005,
France,All Institutions ,Private,2005,
Germany,All Institutions ,Private,2005,
Greece,All Institutions ,Private,2005,
Hungary,All Institutions ,Private,2005,
Iceland,All Institutions ,Private,2005,
Ireland,All Institutions ,Private,2005,
Israel,All Institutions ,Private,2005,
Italy,All Institutions ,Private,2005,
Japan,All Institutions ,Private,2005,
"Korea, Republic of",All Institutions ,Private,2005,
Luxembourg,All Institutions ,Private,2005,
Mexico,All Institutions ,Private,2005,
Netherlands,All Institutions ,Private,2005,
New Zealand,All Institutions ,Private,2005,
Norway,All Institutions ,Private,2005,
Poland,All Institutions ,Private,2005,
Portugal,All Institutions ,Private,2005,
Slovak Republic,All Institutions ,Private,2005,
Slovenia,All Institutions ,Private,2005,
Spain,All Institutions ,Private,2005,
Sweden,All Institutions ,Private,2005,
Switzerland,All Institutions ,Private,2005,
Turkey,All Institutions ,Private,2005,
United Kingdom,All Institutions ,Private,2005,
United States,All Institutions ,Private,2005,
  Brazil,All Institutions ,Private,2005,
  Russian Federation,All Institutions ,Private,2005,
OECD Average,Elementary and Secondary Institutions ,Private,2005,
Australia,Elementary and Secondary Institutions ,Private,2005,
Austria,Elementary and Secondary Institutions ,Private,2005,
Belgium,Elementary and Secondary Institutions ,Private,2005,
Canada,Elementary and Secondary Institutions ,Private,2005,
Chile,Elementary and Secondary Institutions ,Private,2005,
Czech Republic,Elementary and Secondary Institutions ,Private,2005,
Denmark,Elementary and Secondary Institutions ,Private,2005,
Estonia,Elementary and Secondary Institutions ,Private,2005,
Finland,Elementary and Secondary Institutions ,Private,2005,
France,Elementary and Secondary Institutions ,Private,2005,
Germany,Elementary and Secondary Institutions ,Private,2005,
Greece,Elementary and Secondary Institutions ,Private,2005,
Hungary,Elementary and Secondary Institutions ,Private,2005,
Iceland,Elementary and Secondary Institutions ,Private,2005,
Ireland,Elementary and Secondary Institutions ,Private,2005,
Israel,Elementary and Secondary Institutions ,Private,2005,
Italy,Elementary and Secondary Institutions ,Private,2005,
Japan,Elementary and Secondary Institutions ,Private,2005,
"Korea, Republic of",Elementary and Secondary Institutions ,Private,2005,
Luxembourg,Elementary and Secondary Institutions ,Private,2005,
Mexico,Elementary and Secondary Institutions ,Private,2005,
Netherlands,Elementary and Secondary Institutions ,Private,2005,
New Zealand,Elementary and Secondary Institutions ,Private,2005,
Norway,Elementary and Secondary Institutions ,Private,2005,
Poland,Elementary and Secondary Institutions ,Private,2005,
Portugal,Elementary and Secondary Institutions ,Private,2005,
Slovak Republic,Elementary and Secondary Institutions ,Private,2005,
Slovenia,Elementary and Secondary Institutions ,Private,2005,
Spain,Elementary and Secondary Institutions ,Private,2005,
Sweden,Elementary and Secondary Institutions ,Private,2005,
Switzerland,Elementary and Secondary Institutions ,Private,2005,
Turkey,Elementary and Secondary Institutions ,Private,2005,
United Kingdom,Elementary and Secondary Institutions ,Private,2005,
United States,Elementary and Secondary Institutions ,Private,2005,
  Brazil,Elementary and Secondary Institutions ,Private,2005,
  Russian Federation,Elementary and Secondary Institutions ,Private,2005,
OECD Average,Higher Education Institutions ,Private,2005,
Australia,Higher Education Institutions ,Private,2005,
Austria,Higher Education Institutions ,Private,2005,
Belgium,Higher Education Institutions ,Private,2005,
Canada,Higher Education Institutions ,Private,2005,
Chile,Higher Education Institutions ,Private,2005,
Czech Republic,Higher Education Institutions ,Private,2005,
Denmark,Higher Education Institutions ,Private,2005,
Estonia,Higher Education Institutions ,Private,2005,
Finland,Higher Education Institutions ,Private,2005,
France,Higher Education Institutions ,Private,2005,
Germany,Higher Education Institutions ,Private,2005,
Greece,Higher Education Institutions ,Private,2005,
Hungary,Higher Education Institutions ,Private,2005,
Iceland,Higher Education Institutions ,Private,2005,
Ireland,Higher Education Institutions ,Private,2005,
Israel,Higher Education Institutions ,Private,2005,
Italy,Higher Education Institutions ,Private,2005,
Japan,Higher Education Institutions ,Private,2005,
"Korea, Republic of",Higher Education Institutions ,Private,2005,
Luxembourg,Higher Education Institutions ,Private,2005,
Mexico,Higher Education Institutions ,Private,2005,
Netherlands,Higher Education Institutions ,Private,2005,
New Zealand,Higher Education Institutions ,Private,2005,
Norway,Higher Education Institutions ,Private,2005,
Poland,Higher Education Institutions ,Private,2005,
Portugal,Higher Education Institutions ,Private,2005,
Slovak Republic,Higher Education Institutions ,Private,2005,
Slovenia,Higher Education Institutions ,Private,2005,
Spain,Higher Education Institutions ,Private,2005,
Sweden,Higher Education Institutions ,Private,2005,
Switzerland,Higher Education Institutions ,Private,2005,
Turkey,Higher Education Institutions ,Private,2005,
United Kingdom,Higher Education Institutions ,Private,2005,
United States,Higher Education Institutions ,Private,2005,
  Brazil,Higher Education Institutions ,Private,2005,
  Russian Federation,Higher Education Institutions ,Private,2005,
OECD Average,All Institutions ,Total,2005,
Australia,All Institutions ,Total,2005,
Austria,All Institutions ,Total,2005,
Belgium,All Institutions ,Total,2005,
Canada,All Institutions ,Total,2005,
Chile,All Institutions ,Total,2005,
Czech Republic,All Institutions ,Total,2005,
Denmark,All Institutions ,Total,2005,
Estonia,All Institutions ,Total,2005,
Finland,All Institutions ,Total,2005,
France,All Institutions ,Total,2005,
Germany,All Institutions ,Total,2005,
Greece,All Institutions ,Total,2005,
Hungary,All Institutions ,Total,2005,
Iceland,All Institutions ,Total,2005,
Ireland,All Institutions ,Total,2005,
Israel,All Institutions ,Total,2005,
Italy,All Institutions ,Total,2005,
Japan,All Institutions ,Total,2005,
"Korea, Republic of",All Institutions ,Total,2005,
Luxembourg,All Institutions ,Total,2005,
Mexico,All Institutions ,Total,2005,
Netherlands,All Institutions ,Total,2005,
New Zealand,All Institutions ,Total,2005,
Norway,All Institutions ,Total,2005,
Poland,All Institutions ,Total,2005,
Portugal,All Institutions ,Total,2005,
Slovak Republic,All Institutions ,Total,2005,
Slovenia,All Institutions ,Total,2005,
Spain,All Institutions ,Total,2005,
Sweden,All Institutions ,Total,2005,
Switzerland,All Institutions ,Total,2005,
Turkey,All Institutions ,Total,2005,
United Kingdom,All Institutions ,Total,2005,
United States,All Institutions ,Total,2005,
  Brazil,All Institutions ,Total,2005,
  Russian Federation,All Institutions ,Total,2005,
OECD Average,Elementary and Secondary Institutions ,Total,2005,
Australia,Elementary and Secondary Institutions ,Total,2005,
Austria,Elementary and Secondary Institutions ,Total,2005,
Belgium,Elementary and Secondary Institutions ,Total,2005,
Canada,Elementary and Secondary Institutions ,Total,2005,
Chile,Elementary and Secondary Institutions ,Total,2005,
Czech Republic,Elementary and Secondary Institutions ,Total,2005,
Denmark,Elementary and Secondary Institutions ,Total,2005,
Estonia,Elementary and Secondary Institutions ,Total,2005,
Finland,Elementary and Secondary Institutions ,Total,2005,
France,Elementary and Secondary Institutions ,Total,2005,
Germany,Elementary and Secondary Institutions ,Total,2005,
Greece,Elementary and Secondary Institutions ,Total,2005,
Hungary,Elementary and Secondary Institutions ,Total,2005,
Iceland,Elementary and Secondary Institutions ,Total,2005,
Ireland,Elementary and Secondary Institutions ,Total,2005,
Israel,Elementary and Secondary Institutions ,Total,2005,
Italy,Elementary and Secondary Institutions ,Total,2005,
Japan,Elementary and Secondary Institutions ,Total,2005,
"Korea, Republic of",Elementary and Secondary Institutions ,Total,2005,
Luxembourg,Elementary and Secondary Institutions ,Total,2005,
Mexico,Elementary and Secondary Institutions ,Total,2005,
Netherlands,Elementary and Secondary Institutions ,Total,2005,
New Zealand,Elementary and Secondary Institutions ,Total,2005,
Norway,Elementary and Secondary Institutions ,Total,2005,
Poland,Elementary and Secondary Institutions ,Total,2005,
Portugal,Elementary and Secondary Institutions ,Total,2005,
Slovak Republic,Elementary and Secondary Institutions ,Total,2005,
Slovenia,Elementary and Secondary Institutions ,Total,2005,
Spain,Elementary and Secondary Institutions ,Total,2005,
Sweden,Elementary and Secondary Institutions ,Total,2005,
Switzerland,Elementary and Secondary Institutions ,Total,2005,
Turkey,Elementary and Secondary Institutions ,Total,2005,
United Kingdom,Elementary and Secondary Institutions ,Total,2005,
United States,Elementary and Secondary Institutions ,Total,2005,
  Brazil,Elementary and Secondary Institutions ,Total,2005,
  Russian Federation,Elementary and Secondary Institutions ,Total,2005,
OECD Average,Higher Education Institutions ,Total,2005,
Australia,Higher Education Institutions ,Total,2005,
Austria,Higher Education Institutions ,Total,2005,
Belgium,Higher Education Institutions ,Total,2005,
Canada,Higher Education Institutions ,Total,2005,
Chile,Higher Education Institutions ,Total,2005,
Czech Republic,Higher Education Institutions ,Total,2005,
Denmark,Higher Education Institutions ,Total,2005,
Estonia,Higher Education Institutions ,Total,2005,
Finland,Higher Education Institutions ,Total,2005,
France,Higher Education Institutions ,Total,2005,
Germany,Higher Education Institutions ,Total,2005,
Greece,Higher Education Institutions ,Total,2005,
Hungary,Higher Education Institutions ,Total,2005,
Iceland,Higher Education Institutions ,Total,2005,
Ireland,Higher Education Institutions ,Total,2005,
Israel,Higher Education Institutions ,Total,2005,
Italy,Higher Education Institutions ,Total,2005,
Japan,Higher Education Institutions ,Total,2005,
"Korea, Republic of",Higher Education Institutions ,Total,2005,
Luxembourg,Higher Education Institutions ,Total,2005,
Mexico,Higher Education Institutions ,Total,2005,
Netherlands,Higher Education Institutions ,Total,2005,
New Zealand,Higher Education Institutions ,Total,2005,
Norway,Higher Education Institutions ,Total,2005,
Poland,Higher Education Institutions ,Total,2005,
Portugal,Higher Education Institutions ,Total,2005,
Slovak Republic,Higher Education Institutions ,Total,2005,
Slovenia,Higher Education Institutions ,Total,2005,
Spain,Higher Education Institutions ,Total,2005,
Sweden,Higher Education Institutions ,Total,2005,
Switzerland,Higher Education Institutions ,Total,2005,
Turkey,Higher Education Institutions ,Total,2005,
United Kingdom,Higher Education Institutions ,Total,2005,
United States,Higher Education Institutions ,Total,2005,
  Brazil,Higher Education Institutions ,Total,2005,
  Russian Federation,Higher Education Institutions ,Total,2005,
OECD Average,All Institutions ,Public,2009,5.4
Australia,All Institutions ,Public,2009,4.5
Austria,All Institutions ,Public,2009,5.7
Belgium,All Institutions ,Public,2009,6.4
Canada,All Institutions ,Public,2009,5.0
Chile,All Institutions ,Public,2009,4.1
Czech Republic,All Institutions ,Public,2009,4.2
Denmark,All Institutions ,Public,2009,7.5
Estonia,All Institutions ,Public,2009,5.9
Finland,All Institutions ,Public,2009,6.3
France,All Institutions ,Public,2009,5.8
Germany,All Institutions ,Public,2009,4.5
Greece,All Institutions ,Public,2009,
Hungary,All Institutions ,Public,2009,4.8
Iceland,All Institutions ,Public,2009,7.3
Ireland,All Institutions ,Public,2009,6.0
Israel,All Institutions ,Public,2009,5.8
Italy,All Institutions ,Public,2009,4.5
Japan,All Institutions ,Public,2009,3.6
"Korea, Republic of",All Institutions ,Public,2009,4.9
Luxembourg,All Institutions ,Public,2009,
Mexico,All Institutions ,Public,2009,5.0
Netherlands,All Institutions ,Public,2009,5.3
New Zealand,All Institutions ,Public,2009,6.1
Norway,All Institutions ,Public,2009,6.1
Poland,All Institutions ,Public,2009,5.0
Portugal,All Institutions ,Public,2009,5.5
Slovak Republic,All Institutions ,Public,2009,4.1
Slovenia,All Institutions ,Public,2009,5.3
Spain,All Institutions ,Public,2009,4.9
Sweden,All Institutions ,Public,2009,6.6
Switzerland,All Institutions ,Public,2009,5.5
Turkey,All Institutions ,Public,2009,
United Kingdom,All Institutions ,Public,2009,5.3
United States,All Institutions ,Public,2009,5.3
  Brazil,All Institutions ,Public,2009,5.5
  Russian Federation,All Institutions ,Public,2009,4.7
OECD Average,Elementary and Secondary Institutions ,Public,2009,3.7
Australia,Elementary and Secondary Institutions ,Public,2009,3.6
Austria,Elementary and Secondary Institutions ,Public,2009,3.8
Belgium,Elementary and Secondary Institutions ,Public,2009,4.3
Canada,Elementary and Secondary Institutions ,Public,2009,3.4
Chile,Elementary and Secondary Institutions ,Public,2009,3.3
Czech Republic,Elementary and Secondary Institutions ,Public,2009,2.6
Denmark,Elementary and Secondary Institutions ,Public,2009,4.7
Estonia,Elementary and Secondary Institutions ,Public,2009,4.1
Finland,Elementary and Secondary Institutions ,Public,2009,4.1
France,Elementary and Secondary Institutions ,Public,2009,3.8
Germany,Elementary and Secondary Institutions ,Public,2009,2.9
Greece,Elementary and Secondary Institutions ,Public,2009,
Hungary,Elementary and Secondary Institutions ,Public,2009,3.0
Iceland,Elementary and Secondary Institutions ,Public,2009,5.0
Ireland,Elementary and Secondary Institutions ,Public,2009,4.6
Israel,Elementary and Secondary Institutions ,Public,2009,3.8
Italy,Elementary and Secondary Institutions ,Public,2009,3.3
Japan,Elementary and Secondary Institutions ,Public,2009,2.7
"Korea, Republic of",Elementary and Secondary Institutions ,Public,2009,3.6
Luxembourg,Elementary and Secondary Institutions ,Public,2009,3.2
Mexico,Elementary and Secondary Institutions ,Public,2009,3.3
Netherlands,Elementary and Secondary Institutions ,Public,2009,3.7
New Zealand,Elementary and Secondary Institutions ,Public,2009,4.5
Norway,Elementary and Secondary Institutions ,Public,2009,4.2
Poland,Elementary and Secondary Institutions ,Public,2009,3.5
Portugal,Elementary and Secondary Institutions ,Public,2009,4.0
Slovak Republic,Elementary and Secondary Institutions ,Public,2009,2.7
Slovenia,Elementary and Secondary Institutions ,Public,2009,3.6
Spain,Elementary and Secondary Institutions ,Public,2009,3.1
Sweden,Elementary and Secondary Institutions ,Public,2009,4.2
Switzerland,Elementary and Secondary Institutions ,Public,2009,3.8
Turkey,Elementary and Secondary Institutions ,Public,2009,
United Kingdom,Elementary and Secondary Institutions ,Public,2009,4.5
United States,Elementary and Secondary Institutions ,Public,2009,3.8
  Brazil,Elementary and Secondary Institutions ,Public,2009,4.3
  Russian Federation,Elementary and Secondary Institutions ,Public,2009,2.3
OECD Average,Higher Education Institutions ,Public,2009,1.1
Australia,Higher Education Institutions ,Public,2009,0.7
Austria,Higher Education Institutions ,Public,2009,1.4
Belgium,Higher Education Institutions ,Public,2009,1.4
Canada,Higher Education Institutions ,Public,2009,1.5
Chile,Higher Education Institutions ,Public,2009,0.3
Czech Republic,Higher Education Institutions ,Public,2009,1.0
Denmark,Higher Education Institutions ,Public,2009,1.8
Estonia,Higher Education Institutions ,Public,2009,1.3
Finland,Higher Education Institutions ,Public,2009,1.8
France,Higher Education Institutions ,Public,2009,1.3
Germany,Higher Education Institutions ,Public,2009,1.1
Greece,Higher Education Institutions ,Public,2009,
Hungary,Higher Education Institutions ,Public,2009,1.0
Iceland,Higher Education Institutions ,Public,2009,1.2
Ireland,Higher Education Institutions ,Public,2009,1.4
Israel,Higher Education Institutions ,Public,2009,1.0
Italy,Higher Education Institutions ,Public,2009,0.8
Japan,Higher Education Institutions ,Public,2009,0.5
"Korea, Republic of",Higher Education Institutions ,Public,2009,0.7
Luxembourg,Higher Education Institutions ,Public,2009,
Mexico,Higher Education Institutions ,Public,2009,1.0
Netherlands,Higher Education Institutions ,Public,2009,1.2
New Zealand,Higher Education Institutions ,Public,2009,1.1
Norway,Higher Education Institutions ,Public,2009,1.3
Poland,Higher Education Institutions ,Public,2009,1.1
Portugal,Higher Education Institutions ,Public,2009,1.0
Slovak Republic,Higher Education Institutions ,Public,2009,0.7
Slovenia,Higher Education Institutions ,Public,2009,1.1
Spain,Higher Education Institutions ,Public,2009,1.1
Sweden,Higher Education Institutions ,Public,2009,1.6
Switzerland,Higher Education Institutions ,Public,2009,1.4
Turkey,Higher Education Institutions ,Public,2009,
United Kingdom,Higher Education Institutions ,Public,2009,0.6
United States,Higher Education Institutions ,Public,2009,1.1
  Brazil,Higher Education Institutions ,Public,2009,0.8
  Russian Federation,Higher Education Institutions ,Public,2009,1.2
OECD Average,All Institutions ,Private,2009,
Australia,All Institutions ,Private,2009,
Austria,All Institutions ,Private,2009,
Belgium,All Institutions ,Private,2009,
Canada,All Institutions ,Private,2009,
Chile,All Institutions ,Private,2009,
Czech Republic,All Institutions ,Private,2009,
Denmark,All Institutions ,Private,2009,
Estonia,All Institutions ,Private,2009,
Finland,All Institutions ,Private,2009,
France,All Institutions ,Private,2009,
Germany,All Institutions ,Private,2009,
Greece,All Institutions ,Private,2009,
Hungary,All Institutions ,Private,2009,
Iceland,All Institutions ,Private,2009,
Ireland,All Institutions ,Private,2009,
Israel,All Institutions ,Private,2009,
Italy,All Institutions ,Private,2009,
Japan,All Institutions ,Private,2009,
"Korea, Republic of",All Institutions ,Private,2009,
Luxembourg,All Institutions ,Private,2009,
Mexico,All Institutions ,Private,2009,
Netherlands,All Institutions ,Private,2009,
New Zealand,All Institutions ,Private,2009,
Norway,All Institutions ,Private,2009,
Poland,All Institutions ,Private,2009,
Portugal,All Institutions ,Private,2009,
Slovak Republic,All Institutions ,Private,2009,
Slovenia,All Institutions ,Private,2009,
Spain,All Institutions ,Private,2009,
Sweden,All Institutions ,Private,2009,
Switzerland,All Institutions ,Private,2009,
Turkey,All Institutions ,Private,2009,
United Kingdom,All Institutions ,Private,2009,
United States,All Institutions ,Private,2009,
  Brazil,All Institutions ,Private,2009,
  Russian Federation,All Institutions ,Private,2009,
OECD Average,Elementary and Secondary Institutions ,Private,2009,
Australia,Elementary and Secondary Institutions ,Private,2009,
Austria,Elementary and Secondary Institutions ,Private,2009,
Belgium,Elementary and Secondary Institutions ,Private,2009,
Canada,Elementary and Secondary Institutions ,Private,2009,
Chile,Elementary and Secondary Institutions ,Private,2009,
Czech Republic,Elementary and Secondary Institutions ,Private,2009,
Denmark,Elementary and Secondary Institutions ,Private,2009,
Estonia,Elementary and Secondary Institutions ,Private,2009,
Finland,Elementary and Secondary Institutions ,Private,2009,
France,Elementary and Secondary Institutions ,Private,2009,
Germany,Elementary and Secondary Institutions ,Private,2009,
